PLAYER,TEAM_pie,AGE_pie,GP_pie,W_pie,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE_pie,PIE_pie,Unnamed: 0,Rk,POSITION,AGE_sal,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,POINTS,TEAM_sal,GP_sal,MPG,ORPM,DRPM,RPM,WINS_RPM,PIE_sal,PACE_sal,W_sal,SALARY_MILLIONS,PAGEVIEWS,TWITTER_FAVORITE_COUNT,TWITTER_RETWEET_COUNT
Tyus Jones,MIN,21,60,23,37,12.9,110.7,108.2,2.5,27.6,4.11,39.6,1.5,8.9,5.1,9.6,48.6,52.3,13.5,97.51,9.6,209,379,PG,20,12.9,1.3,3.0,0.414,0.4,1.2,0.356,0.8,1.8,0.4539999999999999,0.486,0.6,0.7,0.767,0.2,1.0,1.1,2.6,0.8,0.1,0.6,0.8,3.5,MIN,60,12.9,0.11,-0.34,-0.23,1.4,9.6,97.51,23,1.47,472.0,0.0,14.0
Cody Zeller,CHA,24,62,33,29,27.8,108.4,102.9,5.4,8.7,1.52,14.3,8.5,17.6,13.0,9.4,57.1,60.4,15.4,97.57,9.6,98,140,PF,24,27.8,4.1,7.1,0.5710000000000001,0.0,0.0,0.0,4.1,7.1,0.5720000000000001,0.5710000000000001,2.1,3.2,0.679,2.2,4.4,6.5,1.6,1.0,0.9,1.0,3.0,10.3,CHA,62,27.8,-0.07,3.42,3.35,6.97,9.6,97.57,33,5.32,376.5,90.0,29.0
Victor Oladipo,OKC,25,67,39,28,33.2,104.5,102.1,2.5,12.2,1.48,13.6,1.9,12.3,7.2,9.2,51.0,53.4,21.3,101.1,9.5,43,55,SG,24,33.2,6.1,13.9,0.442,1.9,5.3,0.361,4.3,8.7,0.491,0.51,1.7,2.3,0.753,0.6,3.8,4.3,2.6,1.2,0.3,1.8,2.3,15.9,OKC,67,33.2,0.1,1.56,1.66,6.88,9.5,101.1,39,6.55,715.0,78.0,28.0
Alex Len,PHX,24,77,21,56,20.3,99.4,110.5,-11.1,4.3,0.43,6.3,10.4,25.1,17.5,14.6,50.0,55.3,17.6,103.52,9.5,136,205,C,23,20.3,3.0,6.0,0.497,0.0,0.2,0.25,2.9,5.9,0.503,0.5,1.9,2.7,0.721,2.0,4.6,6.6,0.6,0.5,1.3,1.3,3.1,8.0,PHX,77,20.3,-3.62,1.28,-2.34,0.81,9.5,103.52,21,4.82,270.0,10.5,6.0
Andrew Wiggins,MIN,22,82,31,51,37.2,109.8,110.4,-0.5,10.4,1.01,8.7,3.9,8.7,6.3,8.6,48.4,53.4,28.8,97.56,9.5,13,16,SF,21,37.2,8.6,19.1,0.452,1.3,3.5,0.356,7.4,15.6,0.473,0.484,5.0,6.6,0.76,1.2,2.8,4.0,2.3,1.0,0.4,2.3,2.2,23.6,MIN,82,37.2,1.56,-3.16,-1.6,2.94,9.5,97.56,31,6.01,1778.5,182.0,54.5
Zach LaVine,MIN,22,47,16,31,37.2,106.5,110.1,-3.6,12.8,1.64,14.0,1.2,9.8,5.3,8.5,54.4,57.6,21.8,96.38,9.5,29,37,SG,21,37.2,6.9,15.1,0.4589999999999999,2.6,6.6,0.387,4.4,8.5,0.515,0.544,2.5,3.0,0.836,0.4,3.0,3.4,3.0,0.9,0.2,1.8,2.2,18.9,MIN,47,37.2,-0.62,-2.35,-2.97,0.17,9.5,96.38,16,2.24,1103.0,178.5,67.0
Kevin Seraphin,IND,27,49,23,26,11.4,101.1,111.0,-9.9,6.9,0.79,8.9,7.9,20.2,13.9,11.2,55.1,55.9,18.9,96.87,9.5,193,341,PF,27,11.4,2.2,4.0,0.551,0.0,0.0,0.0,2.2,4.0,0.556,0.551,0.3,0.4,0.636,0.8,2.1,2.9,0.5,0.1,0.4,0.6,1.3,4.7,IND,49,11.4,-2.94,-1.07,-4.01,-0.31,9.5,96.87,23,1.8,16.0,4.5,8.0
Bruno Caboclo,TOR,21,9,8,1,4.5,97.5,91.2,6.2,15.4,2.0,18.2,10.9,13.9,12.2,9.1,43.8,43.8,19.2,95.38,9.4,235,457,SF,21,4.4,0.7,1.8,0.375,0.2,0.7,0.3329999999999999,0.4,1.1,0.4,0.4379999999999999,0.0,0.0,,0.6,0.6,1.1,0.4,0.2,0.1,0.2,0.4,1.6,TOR,9,4.4,-1.76,0.11,-1.65,0.04,9.4,95.38,8,1.59,270.5,11.0,8.0
Joakim Noah,NYK,32,46,17,29,22.1,105.0,111.0,-6.0,13.8,1.78,25.9,16.2,25.6,20.8,14.6,49.0,49.1,12.5,98.45,9.4,190,330,C,31,22.1,2.2,4.4,0.49,0.0,0.0,0.0,2.2,4.4,0.493,0.49,0.7,1.7,0.436,3.5,5.2,8.8,2.2,0.7,0.8,1.3,2.8,5.0,NY,46,22.1,-2.23,1.17,-1.06,1.32,9.4,98.45,17,17.0,1202.5,0.0,87.0
Anthony Bennett,BKN,24,23,3,20,11.5,107.5,118.1,-10.6,7.5,1.0,9.1,10.4,20.7,15.7,9.1,48.4,53.3,19.1,104.03,9.4,187,327,PF,23,11.5,1.7,4.0,0.413,0.6,2.1,0.271,1.1,1.9,0.568,0.484,1.1,1.6,0.722,1.1,2.3,3.4,0.5,0.2,0.1,0.5,0.8,5.0,BKN,23,11.5,-0.76,-1.29,-2.05,0.19,9.4,104.03,3,1.02,19.0,9.0,10.5
Kosta Koufos,SAC,28,71,27,44,20.0,102.0,107.7,-5.7,5.3,0.77,8.9,9.5,22.3,16.0,11.6,55.1,56.0,15.4,96.17,9.3,160,256,C,27,20.0,3.0,5.5,0.551,0.0,0.0,0.0,3.0,5.5,0.552,0.551,0.5,0.9,0.613,1.7,4.0,5.7,0.7,0.5,0.7,0.9,2.4,6.6,SAC,71,20.0,-2.78,2.83,0.05,2.79,9.3,96.17,27,8.05,189.0,37.0,8.0
Michael Kidd-Gilchrist,CHA,23,81,36,45,29.0,105.4,103.8,1.6,7.4,2.04,13.1,7.1,19.4,13.1,6.4,47.8,52.8,14.6,97.79,9.3,117,171,SF,23,29.0,3.6,7.6,0.477,0.0,0.1,0.111,3.6,7.5,0.483,0.478,1.9,2.4,0.784,1.9,5.0,7.0,1.4,1.0,1.0,0.7,2.3,9.2,CHA,81,29.0,-1.97,2.47,0.5,5.31,9.3,97.79,36,13.0,575.5,29.0,11.0
Andrew Bogut,CLE,32,27,8,19,21.6,95.7,97.4,-1.7,13.3,1.14,27.6,10.3,32.0,20.7,24.2,46.9,46.0,10.6,93.14,9.2,219,405,C,32,21.6,1.4,3.0,0.469,0.0,0.0,0.0,1.4,3.0,0.475,0.469,0.1,0.4,0.273,2.1,6.0,8.1,1.8,0.5,0.9,1.6,3.2,2.9,CLE/DAL,27,21.6,-4.01,4.34,0.33,1.2,9.2,93.14,8,0.24,1435.5,57.0,4.0
Al-Farouq Aminu,POR,26,61,33,28,29.1,107.7,105.9,1.8,8.2,1.05,13.8,4.9,23.2,14.1,13.1,46.8,50.6,15.8,98.38,9.2,125,185,SF,26,29.1,3.0,7.6,0.3929999999999999,1.1,3.5,0.33,1.9,4.2,0.445,0.4679999999999999,1.6,2.2,0.706,1.3,6.1,7.4,1.6,1.0,0.7,1.5,1.7,8.7,POR,61,29.1,-1.86,3.13,1.27,4.86,9.2,98.38,33,7.68,330.5,33.0,9.0
Gary Harris,DEN,22,57,29,28,31.3,115.0,114.0,1.0,12.9,2.16,17.5,3.1,8.3,5.7,8.1,58.6,61.1,18.5,100.41,9.1,50,63,SG,22,31.3,5.6,11.2,0.502,1.9,4.5,0.42,3.7,6.7,0.5579999999999999,0.586,1.8,2.4,0.7759999999999999,0.8,2.3,3.1,2.9,1.2,0.1,1.3,1.6,14.9,DEN,57,31.3,2.88,-2.37,0.51,4.29,9.1,100.41,29,1.66,187.5,6.0,2.5
Terry Rozier,BOS,23,74,47,27,17.1,102.2,102.5,-0.2,16.4,2.79,21.2,3.4,16.2,9.8,7.6,43.7,46.6,17.2,98.27,9.1,179,307,PG,22,17.1,2.0,5.6,0.367,0.8,2.4,0.318,1.3,3.1,0.405,0.437,0.7,0.9,0.773,0.5,2.5,3.1,1.8,0.6,0.1,0.6,0.9,5.5,BOS,74,17.1,-1.05,-0.01,-1.06,1.65,9.1,98.27,47,1.91,208.0,2.0,6.0
Justin Anderson,PHI,23,75,24,51,16.4,101.8,108.3,-6.6,8.9,1.0,10.5,6.0,17.3,11.3,10.5,49.0,53.7,20.6,97.35,9.1,148,229,SF,23,16.4,2.5,5.9,0.424,0.8,2.6,0.299,1.7,3.3,0.522,0.49,1.4,1.7,0.7909999999999999,0.9,2.3,3.3,0.9,0.5,0.3,0.9,1.5,7.1,DAL/PHI,75,16.4,-1.36,-2.54,-3.9,-0.59,9.1,97.35,24,1.51,4.0,5.0,10.0
Amir Johnson,BOS,30,80,51,29,20.1,111.4,103.4,8.0,12.5,1.82,22.2,8.4,16.9,12.7,12.2,61.2,62.8,13.8,97.94,9.1,163,260,PF,29,20.1,2.7,4.6,0.5760000000000001,0.3,0.8,0.409,2.3,3.8,0.612,0.612,0.8,1.3,0.67,1.5,3.1,4.6,1.8,0.6,0.8,1.0,2.6,6.5,BOS,80,20.1,0.22,3.58,3.8,7.02,9.1,97.94,51,12.0,282.0,31.5,6.0
Joe Ingles,UTA,29,82,51,31,24.1,109.4,104.6,4.8,16.8,2.1,27.7,1.4,13.9,7.8,13.2,58.9,60.4,13.9,94.04,8.9,149,232,SF,29,24.0,2.5,5.5,0.452,1.5,3.4,0.441,1.0,2.1,0.471,0.589,0.6,0.8,0.735,0.3,2.9,3.2,2.7,1.2,0.1,1.3,2.0,7.1,UTAH,82,24.0,2.29,0.26,2.55,6.68,8.9,94.04,51,2.15,178.0,86.5,4.0
Cory Joseph,TOR,25,80,49,31,25.0,108.7,106.8,2.0,20.0,2.45,24.4,2.9,10.4,6.6,9.9,48.9,51.8,18.3,97.43,8.9,113,166,PG,25,25.0,3.7,8.3,0.452,0.6,1.7,0.356,3.1,6.6,0.477,0.489,1.2,1.5,0.77,0.6,2.3,2.9,3.3,0.8,0.2,1.4,1.8,9.3,TOR,80,25.0,-0.5,-1.94,-2.44,0.86,8.9,97.43,49,7.32,516.5,48.5,15.0
Tristan Thompson,CLE,26,78,50,28,30.0,110.6,107.7,2.9,4.6,1.2,11.5,13.5,19.6,16.6,9.5,60.0,59.4,11.2,98.28,8.9,134,203,C,25,29.9,3.4,5.6,0.6,0.0,0.0,0.0,3.4,5.6,0.604,0.6,1.4,2.7,0.498,3.7,5.5,9.2,1.0,0.5,1.1,0.8,2.3,8.1,CLE,78,29.9,-1.31,1.31,0.0,4.62,8.9,98.28,50,15.33,1365.5,368.0,211.0
Luis Scola,BKN,37,36,7,29,12.8,102.9,111.0,-8.0,12.4,1.09,15.5,11.4,21.3,16.2,14.3,52.6,55.0,18.5,102.58,8.9,185,323,PF,36,12.8,2.0,4.2,0.47,0.5,1.4,0.34,1.5,2.8,0.535,0.526,0.7,1.0,0.6759999999999999,1.4,2.4,3.9,1.0,0.4,0.1,0.9,1.8,5.1,BKN,36,12.8,-0.8,-0.29,-1.09,0.62,8.9,102.58,7,5.5,416.0,16.0,60.0
Devin Booker,PHX,20,78,24,54,35.0,105.6,110.0,-4.4,16.0,1.11,12.6,1.8,8.2,4.9,11.3,47.5,53.1,28.4,103.62,8.9,19,25,SG,20,35.0,7.8,18.3,0.423,1.9,5.2,0.363,5.9,13.2,0.447,0.475,4.7,5.7,0.8320000000000001,0.6,2.6,3.2,3.4,0.9,0.3,3.1,3.1,22.1,PHX,78,35.0,1.28,-2.58,-1.3,3.29,8.9,103.62,24,2.22,1210.5,1170.5,335.5
Markieff Morris,WAS,27,76,45,31,31.2,109.4,105.5,3.9,7.6,0.98,10.2,5.1,18.0,11.7,10.4,49.7,54.0,20.4,100.12,8.9,62,80,PF,27,31.2,5.3,11.7,0.457,0.9,2.6,0.362,4.4,9.1,0.483,0.497,2.4,2.8,0.8370000000000001,1.4,5.1,6.5,1.7,1.1,0.6,1.7,3.3,14.0,WSH,76,31.2,-0.55,2.41,1.86,7.61,8.9,100.12,45,7.4,331.5,9.0,18.0
Aaron Gordon,ORL,21,80,29,51,28.7,105.4,108.2,-2.8,9.7,1.69,12.5,5.4,14.1,9.6,7.4,49.9,53.0,20.0,99.7,8.8,72,101,SF,21,28.7,4.9,10.8,0.4539999999999999,1.0,3.3,0.288,4.0,7.5,0.528,0.499,2.0,2.7,0.7190000000000001,1.5,3.6,5.1,1.9,0.8,0.5,1.1,2.2,12.7,ORL,80,28.7,1.25,-0.78,0.47,5.32,8.8,99.7,29,4.35,666.0,42.5,16.0
Marco Belinelli,CHA,31,74,34,40,24.0,107.2,107.4,-0.1,13.1,2.1,16.2,0.9,10.4,5.6,7.7,51.2,56.6,19.3,97.98,8.8,95,135,SG,30,24.0,3.6,8.3,0.429,1.4,3.8,0.36,2.2,4.5,0.488,0.512,2.0,2.3,0.893,0.2,2.2,2.4,2.0,0.6,0.1,0.9,1.2,10.5,CHA,74,24.0,0.67,-1.87,-1.2,2.15,8.8,97.98,34,6.33,282.5,0.0,15.0
Evan Turner,POR,28,65,34,31,25.5,103.0,107.4,-4.5,19.6,2.05,22.7,2.4,14.4,8.2,11.1,45.4,49.1,18.6,99.29,8.8,123,181,SF,28,25.5,3.6,8.5,0.426,0.5,1.8,0.263,3.1,6.7,0.47,0.4539999999999999,1.3,1.6,0.825,0.6,3.2,3.8,3.2,0.8,0.4,1.5,1.9,9.0,POR,65,25.5,-3.04,0.15,-2.89,0.25,8.8,99.29,34,16.39,564.0,17.0,13.0
Alec Burks,UTA,25,42,26,16,15.5,105.0,104.9,0.1,7.4,0.86,8.6,2.9,18.0,10.3,10.1,45.0,50.1,21.9,95.94,8.7,155,247,SG,25,15.5,2.4,5.9,0.3989999999999999,0.6,1.8,0.3289999999999999,1.8,4.1,0.43,0.45,1.4,1.9,0.769,0.4,2.5,2.9,0.7,0.4,0.1,0.8,1.2,6.7,UTAH,42,15.5,-2.47,-0.94,-3.41,-0.12,8.7,95.94,26,10.15,111.0,10.0,15.0
Manu Ginobili,SAS,39,69,51,18,18.7,111.0,100.6,10.4,19.9,1.91,23.9,2.5,11.3,6.9,12.5,49.1,53.2,19.5,100.94,8.7,144,216,SG,39,18.7,2.5,6.4,0.39,1.3,3.3,0.392,1.2,3.1,0.387,0.491,1.2,1.6,0.804,0.4,1.9,2.3,2.7,1.2,0.2,1.4,1.7,7.5,SA,69,18.7,1.43,1.0,2.43,4.64,8.7,100.94,51,14.0,53.0,299.0,66.0
Sam Dekker,HOU,23,77,52,25,18.4,109.0,106.2,2.8,7.9,1.85,13.2,7.3,14.5,10.9,7.1,54.3,54.9,15.0,102.25,8.7,162,259,SF,22,18.4,2.6,5.6,0.473,0.8,2.4,0.321,1.9,3.1,0.591,0.5429999999999999,0.5,0.9,0.5589999999999999,1.2,2.5,3.7,1.0,0.5,0.3,0.5,1.1,6.5,HOU,77,18.4,0.05,-1.42,-1.37,1.64,8.7,102.25,52,1.72,331.0,139.0,13.0
Thabo Sefolosha,ATL,33,62,32,30,25.7,102.8,103.3,-0.5,9.9,1.84,18.0,3.8,14.8,9.4,9.8,49.2,51.9,13.4,99.53,8.6,147,227,SF,32,25.7,2.8,6.4,0.441,0.7,1.9,0.342,2.1,4.4,0.484,0.492,0.9,1.2,0.733,0.9,3.5,4.4,1.7,1.5,0.5,0.9,1.6,7.2,ATL,62,25.7,-1.93,2.27,0.34,3.55,8.6,99.53,32,3.85,280.0,28.5,17.5
Caris LeVert,BKN,22,57,15,42,21.7,104.9,107.6,-2.7,13.2,1.86,18.6,2.0,14.1,8.1,10.0,52.8,55.6,16.4,104.52,8.6,131,198,SF,22,21.7,3.0,6.7,0.45,1.0,3.2,0.321,2.0,3.4,0.5710000000000001,0.528,1.2,1.6,0.72,0.4,2.9,3.3,1.9,0.9,0.1,1.0,1.6,8.2,BKN,57,21.7,-0.46,-0.84,-1.3,1.53,8.6,104.52,15,1.56,198.5,0.0,28.0
Malik Beasley,DEN,20,22,12,10,7.5,111.0,96.0,15.0,9.8,1.38,11.4,3.6,7.2,5.6,8.3,51.4,53.6,22.2,103.72,8.6,206,375,SG,20,7.5,1.5,3.3,0.452,0.4,1.3,0.321,1.1,2.0,0.5329999999999999,0.514,0.4,0.5,0.8,0.2,0.5,0.8,0.5,0.3,0.0,0.4,0.5,3.8,DEN,22,7.5,-1.74,0.21,-1.53,0.18,8.6,103.72,12,1.63,159.0,0.0,14.0
Frank Kaminsky,CHA,24,75,31,44,26.1,108.3,107.3,0.9,13.1,2.13,14.6,3.3,15.8,9.6,6.9,47.1,50.2,22.0,98.15,8.5,78,111,C,23,26.1,4.3,10.7,0.3989999999999999,1.5,4.7,0.3279999999999999,2.7,6.0,0.455,0.471,1.6,2.1,0.7559999999999999,0.8,3.7,4.5,2.2,0.6,0.5,1.0,1.9,11.7,CHA,75,26.1,0.96,-0.51,0.45,4.4,8.5,98.15,31,2.73,517.0,112.5,29.0
Trevor Ariza,HOU,32,80,53,27,34.7,112.9,107.1,5.7,8.8,2.4,15.9,2.1,16.2,9.1,6.6,52.8,54.8,14.1,102.78,8.5,77,110,SF,31,34.7,4.1,10.0,0.409,2.4,6.9,0.344,1.7,3.0,0.556,0.528,1.2,1.6,0.738,0.7,5.1,5.7,2.2,1.8,0.3,0.9,1.7,11.7,HOU,80,34.7,0.86,1.07,1.93,9.29,8.5,102.78,53,7.81,417.5,10.0,15.0
Tyler Zeller,BOS,27,51,32,19,10.3,104.5,104.4,0.2,12.5,2.1,17.7,8.8,16.7,12.7,8.4,49.4,50.8,16.4,99.46,8.5,212,384,C,27,10.3,1.5,3.1,0.494,0.0,0.0,0.0,1.5,3.1,0.497,0.494,0.4,0.8,0.564,0.8,1.6,2.4,0.8,0.1,0.4,0.4,1.2,3.5,BOS,51,10.3,-2.5,0.2,-2.3,0.28,8.5,99.46,32,8.0,336.0,15.0,14.0
Evan Fournier,ORL,24,68,23,45,32.8,102.2,107.1,-4.9,14.4,1.43,14.5,2.1,8.1,5.0,10.1,50.8,55.5,23.3,99.6,8.5,38,48,SG,24,32.9,6.0,13.7,0.439,1.9,5.3,0.356,4.1,8.4,0.491,0.508,3.3,4.1,0.805,0.6,2.4,3.1,3.0,1.0,0.1,2.1,2.6,17.2,ORL,68,32.9,0.07,-1.17,-1.1,2.89,8.5,99.6,23,17.0,253.5,21.0,10.0
Jordan Clarkson,LAL,25,82,26,56,29.2,103.0,112.0,-8.9,14.3,1.3,14.0,2.2,9.3,5.7,10.8,50.0,52.6,23.2,101.34,8.4,51,65,SG,24,29.2,5.8,13.1,0.445,1.4,4.3,0.3289999999999999,4.4,8.7,0.503,0.5,1.6,2.0,0.7979999999999999,0.6,2.4,3.0,2.6,1.1,0.1,2.0,1.8,14.7,LAL,82,29.2,-0.63,-3.39,-4.02,-1.4,8.4,101.34,26,12.5,1386.5,55.5,179.5
Jerian Grant,CHI,24,63,29,34,16.3,106.4,103.8,2.6,17.2,2.75,24.3,1.8,10.0,5.9,8.8,50.7,55.5,16.3,97.0,8.4,171,289,PG,24,16.3,2.0,4.8,0.425,0.8,2.1,0.366,1.3,2.7,0.473,0.507,1.0,1.2,0.89,0.3,1.5,1.8,1.9,0.7,0.1,0.7,1.5,5.9,CHI,63,16.3,0.5,1.07,1.57,3.03,8.4,97.0,29,1.64,371.0,25.0,32.5
Chasson Randle,NYK,24,26,8,18,11.5,106.2,109.6,-3.4,17.3,1.79,20.0,2.2,9.7,6.0,11.2,49.0,58.6,19.7,98.49,8.4,182,314,PG,23,11.5,1.5,3.8,0.408,0.6,1.8,0.34,0.9,2.0,0.471,0.49,1.6,1.7,0.953,0.2,1.0,1.2,1.3,0.3,0.1,0.7,1.5,5.3,NY/PHI,26,11.5,-0.74,-1.36,-2.1,0.2,8.4,98.49,8,1.31,82.0,13.5,7.0
Buddy Hield,SAC,23,82,31,51,23.0,102.0,107.5,-5.5,10.1,1.2,11.8,2.0,13.4,7.7,9.9,52.3,54.1,21.4,98.9,8.4,92,132,SG,23,23.0,4.0,9.4,0.426,1.8,4.6,0.391,2.2,4.7,0.461,0.523,0.8,0.9,0.8420000000000001,0.4,2.9,3.3,1.5,0.5,0.1,1.2,1.4,10.6,NO/SAC,82,23.0,-0.92,-2.28,-3.2,-0.09,8.4,98.9,31,3.52,811.5,512.0,333.0
Quincy Acy,BKN,26,38,11,27,14.7,102.1,106.9,-4.7,5.3,0.86,7.6,4.1,19.2,11.7,8.9,52.1,56.5,16.9,101.09,8.3,174,292,PF,26,14.7,1.8,4.5,0.412,1.0,2.4,0.411,0.9,2.1,0.413,0.521,1.2,1.6,0.75,0.5,2.5,3.0,0.5,0.4,0.4,0.6,1.8,5.8,DAL/BKN,38,14.7,-2.38,-0.21,-2.59,0.01,8.3,101.09,11,1.79,179.0,4.0,4.0
Ian Mahinmi,WAS,30,31,19,12,17.9,104.3,104.0,0.3,5.0,0.56,9.6,9.8,20.4,15.2,17.3,58.6,60.1,14.0,98.9,8.2,175,301,C,30,17.9,2.1,3.6,0.586,0.0,0.0,,2.1,3.6,0.586,0.586,1.4,2.4,0.573,1.5,3.3,4.8,0.6,1.1,0.8,1.1,2.9,5.6,WSH,31,17.9,-2.22,3.11,0.89,1.44,8.2,98.9,19,15.94,162.5,10.0,5.0
Wayne Ellington,MIA,29,62,35,27,24.2,107.1,104.4,2.7,7.0,2.33,10.4,1.3,8.7,4.9,4.5,55.0,56.5,17.9,97.3,8.2,96,136,SG,29,24.2,3.7,9.0,0.416,2.4,6.4,0.3779999999999999,1.3,2.6,0.509,0.55,0.6,0.7,0.86,0.3,1.8,2.1,1.1,0.6,0.1,0.5,1.1,10.5,MIA,62,24.2,2.26,-1.6,0.66,3.58,8.2,97.3,35,6.0,204.0,18.0,12.0
Georgios Papagiannis,SAC,19,22,7,15,16.1,104.3,110.5,-6.2,8.5,0.83,13.1,9.0,18.3,14.2,15.8,54.9,57.3,16.9,96.93,8.2,176,302,C,19,16.1,2.5,4.6,0.5489999999999999,0.0,0.1,0.0,2.5,4.5,0.56,0.5489999999999999,0.5,0.6,0.857,1.1,2.8,3.9,0.9,0.1,0.8,1.1,2.0,5.6,SAC,22,16.1,-2.47,-0.3,-2.77,0.08,8.2,96.93,7,2.2,172.0,7.0,3.0
Eric Gordon,HOU,28,75,50,25,31.0,110.8,104.6,6.2,12.5,1.55,13.4,1.4,7.8,4.6,8.6,52.7,55.7,22.0,103.07,8.2,41,53,SG,28,31.0,5.5,13.5,0.406,3.3,8.8,0.372,2.2,4.7,0.4679999999999999,0.527,2.0,2.3,0.84,0.4,2.3,2.7,2.5,0.6,0.5,1.6,2.0,16.2,HOU,75,31.0,1.51,-0.48,1.03,6.36,8.2,103.07,50,12.39,346.0,55.0,26.0
Adreian Payne,MIN,26,18,5,13,7.5,102.6,101.8,0.8,8.9,0.88,9.0,6.9,20.0,13.2,10.3,45.4,50.5,22.4,96.52,8.2,210,381,PF,25,7.5,1.3,3.0,0.426,0.2,0.8,0.2,1.1,2.2,0.513,0.4539999999999999,0.8,1.1,0.737,0.5,1.3,1.8,0.4,0.4,0.4,0.4,1.8,3.5,MIN,18,7.5,-1.69,1.36,-0.33,0.24,8.2,96.52,5,2.02,166.0,0.0,13.0
Marcus Smart,BOS,23,79,51,28,30.4,107.2,104.7,2.5,22.6,2.29,26.3,3.6,10.7,7.1,11.5,42.2,48.6,18.5,100.29,8.1,94,134,SG,22,30.4,3.4,9.5,0.359,1.2,4.2,0.283,2.2,5.3,0.42,0.422,2.6,3.2,0.812,1.0,2.9,3.9,4.6,1.6,0.4,2.0,2.4,10.6,BOS,79,30.4,0.26,0.49,0.75,5.98,8.1,100.29,51,3.58,399.5,1.0,9.0
Reggie Bullock,DET,26,31,13,18,15.1,104.7,99.8,5.0,8.6,2.9,17.1,2.9,11.9,7.3,5.9,53.1,53.8,13.1,98.05,8.1,198,349,SF,25,15.1,1.7,4.1,0.422,0.9,2.4,0.384,0.8,1.8,0.473,0.531,0.2,0.2,0.7140000000000001,0.4,1.6,2.1,0.9,0.6,0.1,0.3,0.7,4.5,DET,31,15.1,-0.98,0.57,-0.41,0.79,8.1,98.05,13,2.26,125.0,20.0,13.0
Kyle Korver,CLE,36,67,33,34,26.2,104.6,109.5,-4.9,9.3,1.59,15.4,0.5,11.4,6.0,9.7,62.1,63.5,15.1,100.0,8.1,102,146,SG,35,26.2,3.6,7.7,0.4639999999999999,2.4,5.4,0.451,1.1,2.3,0.494,0.621,0.6,0.6,0.905,0.1,2.7,2.8,1.6,0.5,0.3,1.0,1.6,10.1,ATL/CLE,67,26.2,-0.15,-2.61,-2.76,0.41,8.1,100.0,33,5.24,842.5,107.5,30.5
Jodie Meeks,ORL,29,36,14,22,20.5,104.9,110.4,-5.4,8.9,1.25,12.2,0.7,11.4,5.9,9.7,51.2,56.7,19.6,100.24,8.1,121,177,SG,29,20.5,2.9,7.1,0.402,1.6,3.8,0.409,1.3,3.3,0.395,0.512,1.8,2.1,0.878,0.1,2.0,2.1,1.3,0.9,0.1,1.0,1.1,9.1,ORL,36,20.5,-0.05,-1.6,-1.65,0.7,8.1,100.24,14,6.54,173.0,36.5,15.0
Trey Burke,WAS,24,57,35,22,12.3,99.4,108.6,-9.2,23.0,2.08,24.1,1.2,6.5,3.8,11.5,51.6,53.2,20.5,96.37,8.1,189,329,PG,24,12.3,2.0,4.5,0.455,0.5,1.2,0.4429999999999999,1.5,3.2,0.4589999999999999,0.516,0.4,0.5,0.759,0.1,0.7,0.8,1.8,0.2,0.1,0.8,0.9,5.0,WSH,57,12.3,-2.15,-3.09,-5.24,-0.92,8.1,96.37,35,3.39,429.5,41.0,14.0
Marcus Morris,DET,27,79,36,43,32.5,102.8,105.7,-2.8,9.5,1.84,12.0,3.1,12.7,7.7,6.5,47.7,50.8,20.2,97.01,8.0,61,79,SF,27,32.5,5.3,12.7,0.418,1.5,4.5,0.331,3.8,8.2,0.466,0.477,1.8,2.3,0.784,1.0,3.7,4.6,2.0,0.7,0.3,1.1,2.1,14.0,DET,79,32.5,-0.11,0.63,0.52,5.85,8.0,97.01,36,4.62,5.5,6.0,23.0
Tony Allen,MEM,35,71,36,35,27.0,105.6,104.4,1.2,8.3,0.98,11.5,9.5,13.9,11.6,11.8,47.3,49.3,18.1,93.85,8.0,119,173,SG,35,27.0,3.9,8.4,0.461,0.2,0.8,0.278,3.6,7.6,0.479,0.473,1.1,1.8,0.615,2.3,3.2,5.5,1.4,1.6,0.4,1.4,2.5,9.1,MEM,71,27.0,-2.03,2.15,0.12,3.76,8.0,93.85,36,5.51,17.0,10.5,11.0
Jamal Crawford,LAC,37,82,51,31,26.3,106.7,108.4,-1.7,15.9,1.6,16.4,0.9,5.8,3.4,10.2,47.9,52.5,22.5,98.53,7.9,74,106,SG,36,26.3,4.4,10.6,0.413,1.4,3.9,0.36,3.0,6.7,0.4429999999999999,0.479,2.1,2.5,0.857,0.2,1.4,1.6,2.6,0.7,0.2,1.6,1.4,12.3,LAC,82,26.3,-0.06,-3.18,-3.24,-0.16,7.9,98.53,51,13.25,1010.0,49.0,32.0
